Codigo;Municipio;Dengue 2018;Dengue 2019;Total
430250;Bossoroca;2;-;2
430258;Bozano;-;-;-
430260;Braga;-;-;-
430265;Brochier;-;-;-
430270;Butiá;-;1;1
430280;Caçapava do Sul;-;-;-
430290;Cacequi;-;-;-
430300;Cachoeira do Sul;2;-;2
430310;Cachoeirinha;2;2;4
430320;Cacique Doble;-;1;1
430330;Caibaté;-;-;-
430340;Caiçara;-;-;-
430350;Camaquã;-;1;1
430355;Camargo;-;-;-
430360;Cambará do Sul;-;-;-
430367;Campestre da Serra;-;-;-
430370;Campina das Missões;1;-;1
430380;Campinas do Sul;-;-;-
430390;Campo Bom;-;-;-
430400;Campo Novo;-;2;2
430410;Campos Borges;-;-;-
430420;Candelária;-;-;-
430430;Cândido Godói;-;1;1
430435;Candiota;-;-;-
430440;Canela;-;1;1
430450;Canguçu;-;-;-
430460;Canoas;4;119;123
430461;Canudos do Vale;-;-;-
430462;Capão Bonito do Sul;-;-;-
430463;Capão da Canoa;-;-;-
430465;Capão do Cipó;-;-;-
430466;Capão do Leão;-;-;-
430468;Capela de Santana;-;1;1
430469;Capitão;-;-;-
430467;Capivari do Sul;-;-;-
430471;Caraá;-;-;-
430470;Carazinho;3;6;9
430480;Carlos Barbosa;-;-;-
430485;Carlos Gomes;-;-;-
430490;Casca;1;-;1
430495;Caseiros;-;-;-
430500;Catuípe;-;2;2
430510;Caxias do Sul;-;5;5
430511;Centenário;-;-;-
430512;Cerrito;-;-;-
430513;Cerro Branco;-;-;-
430515;Cerro Grande;-;-;-
430517;Cerro Grande do Sul;-;-;-
430520;Cerro Largo;-;2;2
430530;Chapada;1;-;1
430535;Charqueadas;-;-;-
430537;Charrua;-;-;-
430540;Chiapetta;-;-;-
430543;Chuí;-;-;-
430544;Chuvisca;-;-;-
430545;Cidreira;-;2;2
430550;Ciríaco;-;-;-
430558;Colinas;-;-;-
430560;Colorado;-;-;-
430570;Condor;4;-;4
430580;Constantina;-;-;-
430583;Coqueiro Baixo;-;-;-
430585;Coqueiros do Sul;-;-;-
430587;Coronel Barros;-;1;1
430590;Coronel Bicaco;-;-;-
430593;Coronel Pilar;-;-;-
430595;Cotiporã;-;-;-
430597;Coxilha;-;-;-
430600;Crissiumal;-;3;3
430605;Cristal;-;-;-
430607;Cristal do Sul;-;-;-
430610;Cruz Alta;1;4;5
430613;Cruzaltense;-;-;-
430620;Cruzeiro do Sul;-;-;-
430630;David Canabarro;-;-;-
430632;Derrubadas;-;1;1
430635;Dezesseis de Novembro;-;1;1
430637;Dilermando de Aguiar;-;1;1
430640;Dois Irmãos;1;-;1
430642;Dois Irmãos das Missões;-;-;-
430645;Dois Lajeados;-;-;-
430650;Dom Feliciano;-;-;-
430660;Dom Pedrito;1;2;3
430655;Dom Pedro de Alcântara;-;-;-
430670;Dona Francisca;-;-;-
430673;Doutor Maurício Cardoso;-;-;-
430675;Doutor Ricardo;-;-;-
430676;Eldorado do Sul;1;-;1
430680;Encantado;-;1;1
430690;Encruzilhada do Sul;-;-;-
430692;Engenho Velho;-;-;-
430695;Entre Rios do Sul;-;-;-
430693;Entre-Ijuís;-;2;2
430697;Erebango;-;-;-
430700;Erechim;-;4;4
430705;Ernestina;-;-;-
430720;Erval Grande;-;-;-
430730;Erval Seco;-;1;1
430740;Esmeralda;-;-;-
430745;Esperança do Sul;-;-;-
430750;Espumoso;-;1;1
430755;Estação;-;-;-
430760;Estância Velha;-;-;-
430770;Esteio;2;57;59
430780;Estrela;-;1;1
430781;Estrela Velha;-;-;-
430783;Eugênio de Castro;-;-;-
430786;Fagundes Varela;-;-;-
430790;Farroupilha;-;1;1
430800;Faxinal do Soturno;-;-;-
430805;Faxinalzinho;-;-;-
430807;Fazenda Vilanova;-;-;-
430810;Feliz;-;-;-
430820;Flores da Cunha;2;3;5
430825;Floriano Peixoto;-;-;-
430830;Fontoura Xavier;-;-;-
430840;Formigueiro;-;1;1
430843;Forquetinha;-;-;-
430845;Fortaleza dos Valos;-;-;-
430850;Frederico Westphalen;-;3;3
430860;Garibaldi;-;1;1
430865;Garruchos;-;-;-
430870;Gaurama;-;-;-
430880;General Câmara;-;-;-
430885;Gentil;-;-;-
430890;Getúlio Vargas;-;1;1
430900;Giruá;-;2;2
430905;Glorinha;-;1;1
430910;Gramado;-;8;8
430912;Gramado dos Loureiros;-;-;-
430915;Gramado Xavier;-;-;-
430920;Gravataí;-;3;3
430925;Guabiju;-;-;-
430930;Guaíba;1;-;1
430940;Guaporé;1;-;1
430950;Guarani das Missões;1;-;1
430955;Harmonia;-;-;-
430710;Herval;-;-;-
430957;Herveiras;-;-;-
430960;Horizontina;-;13;13
430965;Hulha Negra;-;-;-
430970;Humaitá;-;-;-
430975;Ibarama;-;-;-
430980;Ibiaçá;-;-;-
430990;Ibiraiaras;-;-;-
430995;Ibirapuitã;-;-;-
431000;Ibirubá;1;-;1
431010;Igrejinha;-;1;1
431020;Ijuí;1;87;88
431030;Ilópolis;-;-;-
431033;Imbé;-;-;-
431036;Imigrante;-;-;-
431040;Independência;-;-;-
431041;Inhacorá;-;-;-
431043;Ipê;-;-;-
431046;Ipiranga do Sul;-;-;-
431050;Iraí;-;1;1
431053;Itaara;-;-;-
431055;Itacurubi;-;-;-
431057;Itapuca;-;-;-
431060;Itaqui;-;-;-
431065;Itati;-;-;-
431070;Itatiba do Sul;-;-;-
431075;Ivorá;-;-;-
431080;Ivoti;1;3;4
431085;Jaboticaba;-;-;-
431087;Jacuizinho;-;-;-
431090;Jacutinga;-;2;2
431100;Jaguarão;-;-;-
431110;Jaguari;-;-;-
431112;Jaquirana;-;-;-
431113;Jari;-;-;-
431115;Jóia;-;-;-
431120;Júlio de Castilhos;1;-;1
431123;Lagoa Bonita do Sul;-;-;-
431127;Lagoa dos Três Cantos;-;-;-
431130;Lagoa Vermelha;1;3;4
431125;Lagoão;-;-;-
431140;Lajeado;-;6;6
431142;Lajeado do Bugre;-;-;-
431150;Lavras do Sul;-;-;-
431160;Liberato Salzano;-;-;-
431162;Lindolfo Collor;-;-;-
431164;Linha Nova;-;-;-
431171;Maçambará;-;-;-
431170;Machadinho;-;-;-
431173;Mampituba;-;-;-
431175;Manoel Viana;-;-;-
431177;Maquiné;-;-;-
431179;Maratá;-;-;-
431180;Marau;4;1;5
431190;Marcelino Ramos;1;-;1
431198;Mariana Pimentel;-;-;-
431200;Mariano Moro;-;-;-
431205;Marques de Souza;-;-;-
431210;Mata;-;-;-
431213;Mato Castelhano;-;1;1
431215;Mato Leitão;1;2;3
431217;Mato Queimado;-;1;1
431220;Maximiliano de Almeida;-;-;-
431225;Minas do Leão;-;-;-
431230;Miraguaí;-;1;1
431235;Montauri;-;-;-
431237;Monte Alegre dos Campos;-;-;-
431238;Monte Belo do Sul;-;1;1
431240;Montenegro;-;2;2
431242;Mormaço;-;-;-
431244;Morrinhos do Sul;-;-;-
431245;Morro Redondo;-;-;-
431247;Morro Reuter;1;-;1
431250;Mostardas;-;-;-
431260;Muçum;-;1;1
431261;Muitos Capões;-;-;-
431262;Muliterno;-;-;-
431265;Não-Me-Toque;1;7;8
431267;Nicolau Vergueiro;-;1;1
431270;Nonoai;1;-;1
431275;Nova Alvorada;-;1;1
431280;Nova Araçá;-;1;1
431290;Nova Bassano;-;-;-
431295;Nova Boa Vista;1;-;1
431300;Nova Bréscia;-;-;-
431301;Nova Candelária;-;-;-
431303;Nova Esperança do Sul;-;-;-
431306;Nova Hartz;-;-;-
431308;Nova Pádua;-;-;-
431310;Nova Palma;-;1;1
431320;Nova Petrópolis;-;1;1
431330;Nova Prata;1;1;2
431333;Nova Ramada;-;-;-
431335;Nova Roma do Sul;-;-;-
431337;Nova Santa Rita;-;-;-
431349;Novo Barreiro;-;1;1
431339;Novo Cabrais;-;-;-
431340;Novo Hamburgo;3;9;12
431342;Novo Machado;-;-;-
431344;Novo Tiradentes;-;-;-
431346;Novo Xingu;-;-;-
431350;Osório;-;-;-
431360;Paim Filho;-;-;-
431365;Palmares do Sul;-;-;-
431370;Palmeira das Missões;1;6;7
431380;Palmitinho;-;-;-
431390;Panambi;7;9;16
431395;Pantano Grande;-;1;1
431400;Paraí;-;-;-
431402;Paraíso do Sul;-;-;-
431403;Pareci Novo;-;-;-
431405;Parobé;-;1;1
431406;Passa Sete;-;-;-
431407;Passo do Sobrado;-;-;-
431410;Passo Fundo;6;14;20
431413;Paulo Bento;-;-;-
431415;Paverama;-;-;-
431417;Pedras Altas;-;-;-
431420;Pedro Osório;-;-;-
431430;Pejuçara;-;-;-
431440;Pelotas;5;3;8
431442;Picada Café;-;2;2
431445;Pinhal;-;-;-
431446;Pinhal da Serra;-;-;-
431447;Pinhal Grande;-;-;-
431449;Pinheirinho do Vale;-;-;-
431450;Pinheiro Machado;-;2;2
431454;Pinto Bandeira;-;-;-
431455;Pirapó;-;3;3
431460;Piratini;-;-;-
431470;Planalto;-;-;-
431475;Poço das Antas;-;-;-
431477;Pontão;-;-;-
431478;Ponte Preta;-;-;-
431480;Portão;-;-;-
431490;Porto Alegre;20;560;580
431500;Porto Lucena;-;-;-
431505;Porto Mauá;-;1;1
431507;Porto Vera Cruz;-;-;-
431510;Porto Xavier;-;-;-
431513;Pouso Novo;-;-;-
431514;Presidente Lucena;-;-;-
431515;Progresso;-;-;-
431517;Protásio Alves;-;-;-
431520;Putinga;-;-;-
431530;Quaraí;-;-;-
431531;Quatro Irmãos;-;-;-
431532;Quevedos;-;-;-
431535;Quinze de Novembro;-;-;-
431540;Redentora;-;-;-
431545;Relvado;-;-;-
431550;Restinga Seca;-;-;-
431555;Rio dos Índios;-;-;-
431560;Rio Grande;1;2;3
431570;Rio Pardo;-;2;2
431575;Riozinho;-;-;-
431580;Roca Sales;-;-;-
431590;Rodeio Bonito;-;-;-
431595;Rolador;-;-;-
431600;Rolante;-;-;-
431610;Ronda Alta;-;1;1
431620;Rondinha;-;-;-
431630;Roque Gonzales;-;1;1
431640;Rosário do Sul;-;-;-
431642;Sagrada Família;-;-;-
431643;Saldanha Marinho;-;-;-
431645;Salto do Jacuí;-;1;1
431647;Salvador das Missões;-;-;-
431650;Salvador do Sul;-;-;-
431660;Sananduva;-;1;1
431710;Sant'Ana do Livramento;-;-;-
431670;Santa Bárbara do Sul;1;4;5
431673;Santa Cecília do Sul;-;-;-
431675;Santa Clara do Sul;-;-;-
431680;Santa Cruz do Sul;1;68;69
431697;Santa Margarida do Sul;-;-;-
431690;Santa Maria;1;2;3
431695;Santa Maria do Herval;-;-;-
431720;Santa Rosa;-;17;17
431725;Santa Tereza;-;-;-
431730;Santa Vitória do Palmar;-;-;-
431700;Santana da Boa Vista;-;-;-
431740;Santiago;3;2;5
431750;Santo Ângelo;1;38;39
431760;Santo Antônio da Patrulha;1;-;1
431770;Santo Antônio das Missões;-;-;-
431755;Santo Antônio do Palma;-;-;-
431775;Santo Antônio do Planalto;-;-;-
431780;Santo Augusto;1;-;1
431790;Santo Cristo;-;-;-
431795;Santo Expedito do Sul;-;-;-
431800;São Borja;-;2;2
431805;São Domingos do Sul;2;-;2
431810;São Francisco de Assis;-;1;1
431820;São Francisco de Paula;-;-;-
431830;São Gabriel;2;-;2
431840;São Jerônimo;1;-;1
431842;São João da Urtiga;-;-;-
431843;São João do Polêsine;-;1;1
431844;São Jorge;-;-;-
431845;São José das Missões;-;-;-
431846;São José do Herval;-;-;-
431848;São José do Hortêncio;-;-;-
431849;São José do Inhacorá;-;-;-
431850;São José do Norte;-;1;1
431860;São José do Ouro;-;-;-
431861;São José do Sul;-;-;-
431862;São José dos Ausentes;-;-;-
431870;São Leopoldo;1;4;5
431880;São Lourenço do Sul;-;-;-
431890;São Luiz Gonzaga;4;3;7
431900;São Marcos;-;-;-
431910;São Martinho;-;2;2
431912;São Martinho da Serra;-;-;-
431915;São Miguel das Missões;1;-;1
431920;São Nicolau;-;-;-
431930;São Paulo das Missões;-;-;-
431935;São Pedro da Serra;-;-;-
431936;São Pedro das Missões;-;-;-
431937;São Pedro do Butiá;-;-;-
431940;São Pedro do Sul;2;1;3
431950;São Sebastião do Caí;-;1;1
431960;São Sepé;-;-;-
431970;São Valentim;-;-;-
431971;São Valentim do Sul;-;-;-
431973;São Valério do Sul;-;-;-
431975;São Vendelino;-;-;-
431980;São Vicente do Sul;-;-;-
431990;Sapiranga;3;10;13
432000;Sapucaia do Sul;-;12;12
432010;Sarandi;-;182;182
432020;Seberi;-;-;-
432023;Sede Nova;-;-;-
432026;Segredo;-;-;-
432030;Selbach;-;2;2
432032;Senador Salgado Filho;-;-;-
432035;Sentinela do Sul;-;-;-
432040;Serafina Corrêa;-;1;1
432045;Sério;-;-;-
432050;Sertão;-;-;-
432055;Sertão Santana;-;-;-
432057;Sete de Setembro;-;2;2
432060;Severiano de Almeida;-;-;-
432065;Silveira Martins;-;-;-
432067;Sinimbu;-;3;3
432070;Sobradinho;-;1;1
432080;Soledade;2;1;3
432085;Tabaí;-;-;-
432090;Tapejara;-;-;-
432100;Tapera;-;2;2
432110;Tapes;-;-;-
432120;Taquara;-;1;1
432130;Taquari;-;-;-
432132;Taquaruçu do Sul;1;-;1
432135;Tavares;-;-;-
432140;Tenente Portela;1;38;39
432143;Terra de Areia;-;-;-
432145;Teutônia;-;2;2
432146;Tio Hugo;-;-;-
432147;Tiradentes do Sul;-;2;2
432149;Toropi;-;-;-
432150;Torres;-;2;2
432160;Tramandaí;-;1;1
432162;Travesseiro;-;-;-
432163;Três Arroios;-;-;-
432166;Três Cachoeiras;-;1;1
432170;Três Coroas;-;1;1
432180;Três de Maio;-;1;1
432183;Três Forquilhas;-;-;-
432185;Três Palmeiras;-;-;-
432190;Três Passos;-;112;112
432195;Trindade do Sul;-;-;-
432200;Triunfo;-;-;-
432210;Tucunduva;-;-;-
432215;Tunas;-;-;-
432218;Tupanci do Sul;-;-;-
432220;Tupanciretã;-;-;-
432225;Tupandi;-;-;-
432230;Tuparendi;-;27;27
432232;Turuçu;-;-;-
432234;Ubiretama;2;-;2
432235;União da Serra;-;-;-
432237;Unistalda;-;-;-
432240;Uruguaiana;-;3;3
432250;Vacaria;1;-;1
432253;Vale do Sol;-;1;1
432254;Vale Real;-;-;-
432252;Vale Verde;-;-;-
432255;Vanini;-;1;1
432260;Venâncio Aires;-;7;7
432270;Vera Cruz;-;-;-
432280;Veranópolis;-;1;1
432285;Vespasiano Correa;-;-;-
432290;Viadutos;-;-;-
432300;Viamão;1;7;8
432310;Vicente Dutra;-;-;-
432320;Victor Graeff;-;2;2
432330;Vila Flores;-;-;-
432335;Vila Lângaro;-;-;-
432340;Vila Maria;-;-;-
432345;Vila Nova do Sul;-;-;-
432350;Vista Alegre;-;1;1
432360;Vista Alegre do Prata;-;-;-
432370;Vista Gaúcha;-;-;-
432375;Vitória das Missões;-;-;-
432377;Westfalia;-;-;-
432380;Xangri-lá;-;-;-
430000;Município ignorado - RS;-;-;-
500020;Água Clara;8;74;82
500025;Alcinópolis;5;309;314
500060;Amambai;46;770;816
500070;Anastácio;-;46;46
500080;Anaurilândia;-;160;160
500085;Angélica;4;58;62
500090;Antônio João;8;95;103
500100;Aparecida do Taboado;4;509;513
500110;Aquidauana;17;51;68
500124;Aral Moreira;3;261;264
500150;Bandeirantes;-;208;208
500190;Bataguassu;28;430;458
500200;Batayporã;38;186;224
500210;Bela Vista;21;186;207
500215;Bodoquena;2;12;14
500220;Bonito;1;114;115
500230;Brasilândia;34;101;135
500240;Caarapó;13;254;267
500260;Camapuã;3;371;374
500270;Campo Grande;1549;36599;38148
500280;Caracol;2;68;70
500290;Cassilândia;8;210;218
500295;Chapadão do Sul;41;302;343
500310;Corguinho;5;64;69
500315;Coronel Sapucaia;27;42;69
500320;Corumbá;38;679;717
500325;Costa Rica;47;359;406
500330;Coxim;8;708;716
500345;Deodápolis;3;414;417
500348;Dois Irmãos do Buriti;19;98;117
500350;Douradina;-;88;88
500370;Dourados;50;5547;5597
500375;Eldorado;24;164;188
500380;Fátima do Sul;5;180;185
500390;Figueirão;12;99;111
500400;Glória de Dourados;-;92;92
500410;Guia Lopes da Laguna;7;55;62
500430;Iguatemi;8;6;14
500440;Inocência;2;16;18
500450;Itaporã;2;17;19
500460;Itaquiraí;1;396;397
500470;Ivinhema;6;156;162
500480;Japorã;-;22;22
500490;Jaraguari;7;176;183
500500;Jardim;16;116;132
500510;Jateí;1;73;74
500515;Juti;1;12;13
500520;Ladário;19;54;73
500525;Laguna Carapã;-;45;45
500540;Maracaju;15;250;265
500560;Miranda;2;407;409
500568;Mundo Novo;7;351;358
500570;Naviraí;9;469;478
500580;Nioaque;2;170;172
500600;Nova Alvorada do Sul;5;297;302
500620;Nova Andradina;7;751;758
500625;Novo Horizonte do Sul;1;61;62
500627;Paraíso das Águas;10;72;82
500630;Paranaíba;15;716;731
500635;Paranhos;2;4;6
500640;Pedro Gomes;1;187;188
500660;Ponta Porã;62;1646;1708
500690;Porto Murtinho;27;91;118
500710;Ribas do Rio Pardo;19;209;228
500720;Rio Brilhante;7;109;116
500730;Rio Negro;2;59;61
500740;Rio Verde de Mato Grosso;10;191;201
500750;Rochedo;11;91;102
500755;Santa Rita do Pardo;1;25;26
500769;São Gabriel do Oeste;16;1349;1365
500780;Selvíria;20;32;52
500770;Sete Quedas;2;383;385
500790;Sidrolândia;29;1306;1335
500793;Sonora;17;381;398
500795;Tacuru;-;97;97
500797;Taquarussu;2;56;58
500800;Terenos;6;116;122
500830;Três Lagoas;3199;3778;6977
500840;Vicentina;-;199;199
500000;Município ignorado - MS;-;-;-
510010;Acorizal;-;-;-
510020;Água Boa;34;170;204
510025;Alta Floresta;134;133;267
510030;Alto Araguaia;127;470;597
510035;Alto Boa Vista;27;16;43
510040;Alto Garças;-;29;29
510050;Alto Paraguai;2;1;3
510060;Alto Taquari;6;158;164
510080;Apiacás;-;-;-
510100;Araguaiana;8;62;70
510120;Araguainha;-;33;33
510125;Araputanga;11;16;27
510130;Arenápolis;86;13;99
510140;Aripuanã;26;56;82
510160;Barão de Melgaço;-;3;3
510170;Barra do Bugres;58;50;108
510180;Barra do Garças;209;186;395
510185;Bom Jesus do Araguaia;230;108;338
510190;Brasnorte;19;4;23
510250;Cáceres;144;72;216
510260;Campinápolis;3;44;47
510263;Campo Novo do Parecis;56;27;83
510267;Campo Verde;26;103;129
510268;Campos de Júlio;60;44;104
510269;Canabrava do Norte;7;88;95
510270;Canarana;80;230;310
510279;Carlinda;7;5;12
510285;Castanheira;-;-;-
510300;Chapada dos Guimarães;17;12;29
510305;Cláudia;9;113;122
510310;Cocalinho;67;344;411
510320;Colíder;4;69;73
510325;Colniza;82;490;572
510330;Comodoro;10;146;156
510335;Confresa;246;636;882
510336;Conquista D'Oeste;1;1;2
510337;Cotriguaçu;8;39;47
510340;Cuiabá;1651;503;2154
510343;Curvelândia;-;1;1
510345;Denise;-;-;-
510350;Diamantino;11;89;100
510360;Dom Aquino;3;7;10
510370;Feliz Natal;13;18;31
510380;Figueirópolis D'Oeste;-;-;-
510385;Gaúcha do Norte;110;16;126
510390;General Carneiro;5;27;32
510395;Glória D'Oeste;2;3;5
510410;Guarantã do Norte;7;355;362
510420;Guiratinga;1;22;23
510450;Indiavaí;-;1;1
510452;Ipiranga do Norte;-;72;72
510454;Itanhangá;3;9;12
510455;Itaúba;2;17;19
510460;Itiquira;4;191;195
510480;Jaciara;21;31;52
510490;Jangada;12;4;16
510500;Jauru;1;-;1
510510;Juara;30;55;85
510515;Juína;9;22;31
510517;Juruena;1;-;1
510520;Juscimeira;4;2;6
510523;Lambari D'Oeste;-;5;5
510525;Lucas do Rio Verde;33;252;285
510530;Luciara;-;-;-
510558;Marcelândia;5;6;11
510560;Matupá;44;61;105
510562;Mirassol d'Oeste;75;28;103
510590;Nobres;8;14;22
510600;Nortelândia;39;28;67
510610;Nossa Senhora do Livramento;6;4;10
510615;Nova Bandeirantes;3;1;4
510620;Nova Brasilândia;14;3;17
510621;Nova Canaã do Norte;15;83;98
510880;Nova Guarita;2;-;2
510618;Nova Lacerda;24;1;25
510885;Nova Marilândia;2;-;2
510890;Nova Maringá;12;32;44
510895;Nova Monte Verde;27;6;33
510622;Nova Mutum;39;32;71
510617;Nova Nazaré;-;5;5
510623;Nova Olímpia;12;54;66
510619;Nova Santa Helena;21;9;30
510624;Nova Ubiratã;16;8;24
510625;Nova Xavantina;6;163;169
510627;Novo Horizonte do Norte;5;3;8
510626;Novo Mundo;-;7;7
510631;Novo Santo Antônio;1;1;2
510628;Novo São Joaquim;5;18;23
510629;Paranaíta;79;45;124
510630;Paranatinga;15;24;39
510637;Pedra Preta;5;13;18
510642;Peixoto de Azevedo;9;25;34
510645;Planalto da Serra;14;36;50
510650;Poconé;242;5;247
510665;Pontal do Araguaia;6;50;56
510670;Ponte Branca;1;2;3
510675;Pontes e Lacerda;45;85;130
510677;Porto Alegre do Norte;10;147;157
510680;Porto dos Gaúchos;-;14;14
510682;Porto Esperidião;4;2;6
510685;Porto Estrela;-;3;3
510700;Poxoréo;4;25;29
510704;Primavera do Leste;88;724;812
510706;Querência;127;295;422
510715;Reserva do Cabaçal;1;4;5
510718;Ribeirão Cascalheira;33;74;107
510719;Ribeirãozinho;17;37;54
510720;Rio Branco;-;57;57
510757;Rondolândia;-;-;-
510760;Rondonópolis;37;290;327
510770;Rosário Oeste;118;26;144
510775;Salto do Céu;1;18;19
510724;Santa Carmem;6;8;14
510774;Santa Cruz do Xingu;3;17;20
510776;Santa Rita do Trivelato;1;2;3
510777;Santa Terezinha;-;-;-
510726;Santo Afonso;79;14;93
510779;Santo Antônio do Leste;11;7;18
510780;Santo Antônio do Leverger;-;7;7
510785;São Félix do Araguaia;16;12;28
510729;São José do Povo;-;38;38
510730;São José do Rio Claro;7;-;7
510735;São José do Xingu;4;133;137
510710;São José dos Quatro Marcos;4;7;11
510740;São Pedro da Cipa;1;-;1
510787;Sapezal;2;72;74
510788;Serra Nova Dourada;-;-;-
510790;Sinop;435;1277;1712
510792;Sorriso;46;181;227
510794;Tabaporã;3;33;36
510795;Tangará da Serra;123;304;427
510800;Tapurah;4;52;56
510805;Terra Nova do Norte;1;30;31
510810;Tesouro;5;2;7
510820;Torixoréu;51;145;196
510830;União do Sul;2;28;30
510835;Vale de São Domingos;-;6;6
510840;Várzea Grande;1456;104;1560
510850;Vera;4;80;84
510550;Vila Bela da Santíssima Trindade;24;16;40
510860;Vila Rica;10;40;50
510000;Município ignorado - MT;-;-;-
520005;Abadia de Goiás;85;92;177
520010;Abadiânia;8;357;365
520013;Acreúna;686;698;1384
520015;Adelândia;2;49;51
520017;Água Fria de Goiás;2;66;68
520020;Água Limpa;8;16;24
520025;Águas Lindas de Goiás;493;1562;2055
520030;Alexânia;24;525;549
520050;Aloândia;10;3;13
520055;Alto Horizonte;88;52;140
520060;Alto Paraíso de Goiás;8;41;49
520080;Alvorada do Norte;28;8;36
520082;Amaralina;7;5;12
520085;Americano do Brasil;40;67;107
520090;Amorinópolis;24;11;35
520110;Anápolis;2318;11602;13920
520120;Anhanguera;-;18;18
520130;Anicuns;100;1021;1121
520140;Aparecida de Goiânia;17296;18623;35919
520145;Aparecida do Rio Doce;15;27;42
520150;Aporé;-;191;191
520160;Araçu;12;9;21
520170;Aragarças;175;160;335
520180;Aragoiânia;167;217;384
520215;Araguapaz;146;43;189
520235;Arenópolis;45;19;64
520250;Aruanã;39;142;181
520260;Aurilândia;5;22;27
520280;Avelinópolis;18;15;33
520310;Baliza;22;34;56
520320;Barro Alto;4;40;44
520330;Bela Vista de Goiás;476;516;992
520340;Bom Jardim de Goiás;540;103;643
520350;Bom Jesus de Goiás;71;339;410
520355;Bonfinópolis;15;-;15
520357;Bonópolis;24;3;27
520360;Brazabrantes;30;25;55
520380;Britânia;14;35;49
520390;Buriti Alegre;93;35;128
520393;Buriti de Goiás;8;2;10
520396;Buritinópolis;-;33;33
520400;Cabeceiras;-;68;68
520410;Cachoeira Alta;25;68;93
520420;Cachoeira de Goiás;1;3;4
520425;Cachoeira Dourada;17;89;106
520430;Caçu;301;62;363
520440;Caiapônia;432;387;819
520450;Caldas Novas;496;1536;2032
520455;Caldazinha;19;8;27
520460;Campestre de Goiás;12;5;17
520465;Campinaçu;-;1;1
520470;Campinorte;21;303;324
520480;Campo Alegre de Goiás;9;43;52
520485;Campo Limpo de Goiás;49;28;77
520490;Campos Belos;74;492;566
520495;Campos Verdes;7;9;16
520500;Carmo do Rio Verde;26;30;56
520505;Castelândia;1;8;9
520510;Catalão;264;2739;3003
520520;Caturaí;25;80;105
520530;Cavalcante;1;29;30
520540;Ceres;369;813;1182
520545;Cezarina;58;20;78
520547;Chapadão do Céu;11;225;236
520549;Cidade Ocidental;44;888;932
520551;Cocalzinho de Goiás;95;786;881
520552;Colinas do Sul;37;44;81
520570;Córrego do Ouro;13;20;33
520580;Corumbá de Goiás;5;30;35
520590;Corumbaíba;33;380;413
520620;Cristalina;40;727;767
520630;Cristianópolis;30;64;94
520640;Crixás;326;391;717
520650;Cromínia;14;27;41
520660;Cumari;-;68;68
520670;Damianópolis;-;17;17
520680;Damolândia;24;81;105
520690;Davinópolis;1;2;3
520710;Diorama;5;4;9
520830;Divinópolis de Goiás;54;17;71
520725;Doverlândia;128;86;214
520735;Edealina;39;64;103
520740;Edéia;238;157;395
520750;Estrela do Norte;23;51;74
520753;Faina;8;10;18
520760;Fazenda Nova;67;25;92
520780;Firminópolis;134;118;252
520790;Flores de Goiás;18;2;20
520800;Formosa;855;2215;3070
520810;Formoso;18;75;93
520815;Gameleira de Goiás;4;21;25
520840;Goianápolis;27;78;105
520850;Goiandira;25;89;114
520860;Goianésia;105;481;586
520870;Goiânia;31470;33448;64918
520880;Goianira;780;691;1471
520890;Goiás;562;276;838
520910;Goiatuba;407;815;1222
520915;Gouvelândia;38;5;43
520920;Guapó;120;103;223
520929;Guaraíta;10;2;12
520940;Guarani de Goiás;32;79;111
520945;Guarinos;5;4;9
520960;Heitoraí;28;33;61
520970;Hidrolândia;62;230;292
520980;Hidrolina;3;12;15
520990;Iaciara;35;228;263
520993;Inaciolândia;103;59;162
520995;Indiara;252;62;314
521000;Inhumas;529;1270;1799
521010;Ipameri;22;283;305
521015;Ipiranga de Goiás;11;12;23
521020;Iporá;444;311;755
521030;Israelândia;6;74;80
521040;Itaberaí;239;617;856
521056;Itaguari;99;193;292
521060;Itaguaru;68;239;307
521080;Itajá;3;45;48
521090;Itapaci;95;193;288
521100;Itapirapuã;65;146;211
521120;Itapuranga;155;215;370
521130;Itarumã;78;31;109
521140;Itauçu;35;43;78
521150;Itumbiara;841;325;1166
521160;Ivolândia;2;3;5
521170;Jandaia;8;18;26
521180;Jaraguá;224;478;702
521190;Jataí;4754;4170;8924
521200;Jaupaci;5;-;5
521205;Jesúpolis;-;3;3
521210;Joviânia;90;135;225
521220;Jussara;191;52;243
521225;Lagoa Santa;-;11;11
521230;Leopoldo de Bulhões;11;10;21
521250;Luziânia;345;1845;2190
521260;Mairipotaba;6;37;43
521270;Mambaí;1;320;321
521280;Mara Rosa;68;174;242
521290;Marzagão;3;17;20
521295;Matrinchã;7;23;30
521300;Maurilândia;66;74;140
521305;Mimoso de Goiás;-;19;19
521308;Minaçu;109;207;316
521310;Mineiros;2154;1265;3419
521340;Moiporá;1;3;4
521350;Monte Alegre de Goiás;51;22;73
521370;Montes Claros de Goiás;203;145;348
521375;Montividiu;61;135;196
521377;Montividiu do Norte;5;-;5
521380;Morrinhos;703;307;1010
521385;Morro Agudo de Goiás;12;2;14
521390;Mossâmedes;9;25;34
521400;Mozarlândia;7;4;11
521405;Mundo Novo;4;11;15
521410;Mutunópolis;12;-;12
521440;Nazário;120;86;206
521450;Nerópolis;118;241;359
521460;Niquelândia;48;217;265
